"YEAR"	"AGE"	"MARST"	"n"	"prop"
1910	30	6	495827	0.266573942552626
1910	31	1	832838	0.728151002254822
1910	31	2	35508	0.0310446759010326
1910	31	4	7922	0.00692621162802694
1910	31	5	27691	0.0242102658661568
1910	31	6	239812	0.209667844349962
1910	32	1	1005926	0.703960172237995
1910	32	2	54251	0.0379655593990845
1910	32	4	11640	0.00814582425034273
1910	32	5	39927	0.0279414368422194
1910	32	6	317209	0.221987007270358
1910	33	1	916613	0.730126324559887
1910	33	2	49235	0.039218044681568
1910	33	4	8832	0.00703511263588115
1910	33	5	40425	0.0322004561034302
1910	33	6	240312	0.191420062019233
1910	34	1	944032	0.736686443634082
1910	34	2	44731	0.0349063604943435
1910	34	4	10331	0.00806191702101592
1910	34	5	40201	0.0313713218625362
1910	34	6	242162	0.188973956988022
1910	35	1	1112579	0.715602237022791
1910	35	2	64576	0.0415347854471312
1910	35	4	14644	0.00941890792380744
1910	35	5	67598	0.0434785125535056
1910	35	6	295348	0.189965557052764
1910	36	1	947102	0.755815642342186
1910	36	2	42310	0.0337646418521953
1910	36	4	9324	0.0074408300787017
1910	36	5	53452	0.0426562901508755
1910	36	6	200898	0.160322595576042
1910	37	1	890960	0.772998832207475
1910	37	2	36705	0.031845337766202
1910	37	4	8222	0.00713342506780311
1910	37	5	47431	0.0411512386756226
1910	37	6	169284	0.146871166282897
1910	38	1	1037469	0.757905095027702
1910	38	2	52868	0.0386218061107605
1910	38	4	9021	0.00659013605442177
1910	38	5	64281	0.0469593765341188
1910	38	6	205225	0.149923586272997
1910	39	1	879707	0.780200258970857
1910	39	2	37013	0.0328263298863012
1910	39	4	9839	0.00872607623676322
1910	39	5	57670	0.0511467442396722
1910	39	6	143311	0.127100590666407
1910	40	1	1088088	0.710240208877285
1910	40	2	75131	0.0490411227154047
1910	40	4	12132	0.00791906005221932
1910	40	5	109927	0.0717539164490862
1910	40	6	246722	0.161045691906005
1910	41	1	660645	0.780462362326768
1910	41	2	26787	0.0316452032478065
1910	41	4	6718	0.00793640480153672
1910	41	5	49528	0.0585106068786113
1910	41	6	102801	0.121445422745278
1910	42	1	867363	0.759481667113234
1910	42	2	44211	0.0387121009136234
1910	42	4	9932	0.00869667246328081
1910	42	5	79802	0.0698763447356762
1910	42	6	140738	0.123233214774186
1910	43	1	746172	0.790371134588456
1910	43	2	34718	0.0367745038015927
1910	43	4	7723	0.0081804681392851
1910	43	5	65893	0.069796139725743
1910	43	6	89572	0.0948777537449236
1910	44	1	670685	0.777320103799531
1910	44	2	30685	0.0355637406309797
1910	44	4	6317	0.00732136710333709
1910	44	5	62174	0.0720593126931899
1910	44	6	92956	0.107735475772962
1910	45	1	797172	0.719551789780959
1910	45	2	51159	0.0461776756000011
1910	45	4	9732	0.00878440037802167
1910	45	5	101786	0.0918751517547589
1910	45	6	148024	0.13361098248626
1910	46	1	633931	0.769380423569391
1910	46	2	27471	0.0333406153286
1910	46	4	6516	0.00790824685963954
